"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm19951",4.69833602434373e-44,2.3275368238645,0.081,0.017,1.61594569221278e-39
"Sla",4.95819151000944e-44,0.58203080845527,0.462,0.319,1.70532038795265e-39
"Id2",2.10023321396697e-43,1.10317783113442,0.213,0.109,7.22354211611801e-39
"Rps5",4.24043317282795e-43,1.56219949820089,0.126,0.043,1.45845458546245e-38
"Rpl6",5.50405821215363e-43,1.1229585193299,0.198,0.093,1.89306578148812e-38
"Cdk5rap1",1.98105752061879e-41,-2.67242351394188,0.011,0.06,6.81364923641627e-37
"Pax2",2.82956032038073e-41,4.57254306078846,0.044,0.003,9.7319897659175e-37
"Efhd2",4.62135895888788e-41,0.440199183462454,0.602,0.467,1.5894702003199e-36
"Itm2b",6.30483276500509e-41,-0.21302174203299,0.786,0.844,2.16848418119585e-36
"Mmp8",1.10920943440325e-40,-0.343353356350901,0.594,0.703,3.81501492868655e-36
"Txn1",1.13417888871787e-39,-0.168130883625091,0.855,0.888,3.90089486985625e-35
"Hspa8",1.70491075308451e-39,0.747213482411126,0.324,0.2,5.86387004415885e-35
"Naaa",1.29131502684582e-38,1.83267067554035,0.093,0.026,4.44134890333352e-34
"Rgs2",2.23831123089261e-38,-0.172586583612695,0.886,0.928,7.69844764753203e-34
"Rps17",2.68733464946372e-38,4.74967039520871,0.039,0.002,9.24281879336552e-34
"Gm39321",4.97560863895333e-38,-0.850247027984057,0.151,0.259,1.71131083528161e-33
"Adam8",2.62428419313124e-37,-0.320772082198504,0.567,0.658,9.0259630538556e-33
"Adipor1",3.04322636792316e-37,-0.217162211756124,0.775,0.827,1.04668727698349e-32
"Mirt2",1.19395622309631e-36,-0.505277551882937,0.351,0.459,4.10649303371746e-32
"S100a6",1.30490945560199e-36,-0.153945272110879,0.901,0.946,4.48810558159749e-32
"Slfn1",2.87062325937211e-36,-0.208177619067008,0.763,0.816,9.87322163828443e-32
"Cst3",3.96870496859194e-36,0.270211872200102,0.78,0.696,1.36499638689751e-31
"Ptp4a1",7.92609893580868e-36,0.663992380602949,0.349,0.227,2.72610246798204e-31
"Acta2",7.94737097166132e-36,-1.23007766413996,0.064,0.144,2.73341877199319e-31
"Plek",1.25382933005382e-35,0.279295951728389,0.769,0.652,4.31242059778713e-31
"mt-Co1",8.65541909607935e-35,0.403612654006761,0.58,0.468,2.97694484390553e-30
"Samsn1",1.06911798462911e-34,0.448583372599557,0.523,0.391,3.67712439633337e-30
"Ube2h",2.10055976732383e-34,-0.319274648686593,0.496,0.559,7.22466526373359e-30
"Xpc",3.15247129435696e-34,-0.622185783968231,0.246,0.343,1.08426097698113e-29
"Fpr1",4.17681306804543e-33,0.394931335435909,0.585,0.461,1.43657308662354e-28
"Fam49a",2.58463701649577e-32,5.56596310704766,0.028,0,8.88960055453556e-28
"Jaml",4.46421209355975e-32,-0.360448572788286,0.504,0.605,1.53542110745894e-27
"Wfdc21",1.1328103677956e-31,0.210981962821179,0.827,0.758,3.8961879789962e-27
"Arl4c",1.90139482399042e-31,-1.06074457228252,0.078,0.157,6.53965735763265e-27
"Gm5150",3.4892828088483e-31,-0.306379253569092,0.558,0.64,1.20010392927528e-26
"Dusp2",1.39211847904498e-30,1.70554458498322,0.087,0.029,4.7880522968273e-26
"Gsr",1.44959530389106e-30,-0.134642481447454,0.909,0.938,4.98573808820293e-26
"Ifi27l2a",1.50779173429662e-30,-0.729820615878559,0.173,0.266,5.18589889093978e-26
"Rnf144a",2.18110360606819e-30,-0.266141265049117,0.634,0.713,7.50168774271094e-26
"5430425K12Rik",1.00523032497463e-28,-0.974038324089773,0.09,0.168,3.45738917971773e-24
"Ctnnbip1",1.48725908629365e-28,1.05565522981888,0.145,0.07,5.11527890139837e-24
"Cdkn2d",1.5490756236652e-28,-0.32132745640792,0.477,0.544,5.32789070003409e-24
"Tspan13",8.06670443390059e-28,-0.430166271845356,0.357,0.447,2.77446232299577e-23
"Cd101",2.54415015503736e-27,-0.767141143801382,0.141,0.223,8.75035004323551e-23
"AI467606",8.28044797235606e-27,-0.242500225556296,0.654,0.72,2.84797727561214e-22
"Mmp25",1.45948371760403e-26,0.489014663283661,0.372,0.263,5.01974829832732e-22
"Rack1",4.82181789126232e-26,4.0887070994688,0.029,0.002,1.65841604552076e-21
"Btg1",1.47241926138215e-25,-0.137357706663818,0.882,0.906,5.06423880759778e-21
"H2bc4",1.62111346529555e-25,-0.410770935110035,0.367,0.452,5.57565765253751e-21
